"query","page","clicks","impressions","ctr","position"
"(all queries)","https://online.hong-sen.com/calculator/","17","290","5.86%","12.99"
"(all queries)","https://online.hong-sen.com/blog/curtain-price-guide-2026/","4","61","6.56%","5.69"
"(all queries)","https://online.hong-sen.com/cases/","1","34","2.94%","8.47"
"(all queries)","https://online.hong-sen.com/calculator/?product=P011","1","2","50%","20"
"(all queries)","https://online.hong-sen.com/","0","37","0%","9.73"
"(all queries)","https://online.hong-sen.com/about/","0","27","0%","8.56"
"(all queries)","https://online.hong-sen.com/location/sanchong/","0","22","0%","9.95"
"(all queries)","https://online.hong-sen.com/calculator?product=P008","0","22","0%","21.32"
"(all queries)","https://online.hong-sen.com/location/taipei/","0","8","0%","16.12"
"(all queries)","https://online.hong-sen.com/products/","0","7","0%","7.14"
"(all queries)","https://online.hong-sen.com/calculator/?product=P009","0","6","0%","24.67"
"(all queries)","https://online.hong-sen.com/curtain/living-room/","0","4","0%","47.5"
"(all queries)","https://online.hong-sen.com/calculator?product=P009","0","3","0%","10.67"
"(all queries)","https://online.hong-sen.com/blog/budget-allocation-for-curtains/","0","2","0%","15"
"(all queries)","https://online.hong-sen.com/products/P001/","0","1","0%","5"
