"query","page","clicks","impressions","ctr","position"
"(all queries)","https://online.hong-sen.com/calculator/","18","298","6.04%","12.95"
"(all queries)","https://online.hong-sen.com/blog/curtain-price-guide-2026/","4","66","6.06%","5.52"
"(all queries)","https://online.hong-sen.com/cases/","1","34","2.94%","8.47"
"(all queries)","https://online.hong-sen.com/calculator/?product=P011","1","2","50%","20"
"(all queries)","https://online.hong-sen.com/","0","40","0%","9.35"
"(all queries)","https://online.hong-sen.com/about/","0","27","0%","8.56"
"(all queries)","https://online.hong-sen.com/location/sanchong/","0","26","0%","10.08"
"(all queries)","https://online.hong-sen.com/calculator?product=P008","0","25","0%","22.64"
"(all queries)","https://online.hong-sen.com/location/taipei/","0","9","0%","15.44"
"(all queries)","https://online.hong-sen.com/products/","0","7","0%","7.14"
"(all queries)","https://online.hong-sen.com/calculator/?product=P009","0","7","0%","25.29"
"(all queries)","https://online.hong-sen.com/curtain/living-room/","0","4","0%","47.5"
"(all queries)","https://online.hong-sen.com/calculator?product=P009","0","3","0%","10.67"
"(all queries)","https://online.hong-sen.com/blog/budget-allocation-for-curtains/","0","3","0%","37.67"
"(all queries)","https://online.hong-sen.com/products/P001/","0","1","0%","5"
