"query","page","clicks","impressions","ctr","position"
"窗簾線上估價","(all pages)","2","8","25%","4.12"
"窗簾 價格","(all pages)","0","6","0%","43.33"
"窗簾價格試算","(all pages)","0","4","0%","11.75"
"實木百葉窗價格試算","(all pages)","0","3","0%","15"
"窗簾價格","(all pages)","0","3","0%","31.33"
"客廳窗簾","(all pages)","0","3","0%","61.33"
"窗簾","(all pages)","0","2","0%","4.5"
"窗簾 線上估價服務","(all pages)","0","2","0%","5"
"捲簾一才價格","(all pages)","0","2","0%","10"
"宏森窗簾","(all pages)","0","1","0%","1"
"風琴簾價格","(all pages)","0","1","0%","1"
"宏森","(all pages)","0","1","0%","4"
"三重窗簾","(all pages)","0","1","0%","9"
"窗簾估價","(all pages)","0","1","0%","9"
"台北窗簾推薦","(all pages)","0","1","0%","22"
"百葉窗價格試算","(all pages)","0","1","0%","23"
"鋁百葉窗價格試算","(all pages)","0","1","0%","25"
"窗簾預算","(all pages)","0","1","0%","34"
"窗簾價格多少合理","(all pages)","0","1","0%","35"
"窗簾行情","(all pages)","0","1","0%","35"
"窗簾安裝費用","(all pages)","0","1","0%","47"
